year,semester,lecture_type,prof,name,class,prob_success,prob_success_m,prob_success_um,mileage_cut,mileage_cut_m,mileage_cut_um
2022,1,0,김영세,게임이론과응용,None,0.764,0.729,0.809,12,12.0,12.0
2021,1,0,김영세,게임이론과응용,None,0.578,0.545,0.629,12,12.0,12.0
2023,1,1,허현승,거시경제학,None,0.695,0.875,0.441,12,12.0,12.0
2021,2,0,조성훈,거시경제학,None,0.824,0.851,0.778,12,12.0,12.0
2023,1,2,조성훈,거시경제학,None,0.745,0.897,0.577,12,12.0,12.0
2023,1,1,김선빈,거시경제학,None,0.87,0.935,0.733,12,12.0,12.0
2022,1,0,허현승,거시경제학,None,0.978,1.0,0.947,1,1.0,1.0
2022,1,0,한원용,거시경제학,None,0.692,0.81,0.485,12,12.0,12.0
2021,2,0,한원용,거시경제학,None,0.612,0.681,0.452,12,12.0,12.0
2020,2,1,유병삼,거시경제학,None,0.917,0.958,0.833,4,3.0,4.0
2022,1,0,조성훈,거시경제학,None,0.754,0.906,0.622,12,12.0,12.0
2022,2,1,허현승,거시경제학,None,0.727,0.714,0.76,12,12.0,12.0
2020,2,0,조하현,거시경제학,None,0.534,0.579,0.45,12,12.0,12.0
2022,2,2,조성훈,거시경제학,None,0.649,0.732,0.5,12,12.0,12.0
2022,1,0,김선빈,거시경제학,None,1.0,1.0,1.0,1,1.0,1.0
2021,1,0,김선빈,거시경제학,None,1.0,1.0,1.0,1,1.0,1.0
2021,2,0,허현승,거시경제학,None,0.818,0.854,0.76,12,10.0,12.0
2021,1,0,허현승,거시경제학,None,0.692,0.8,0.6,12,11.0,12.0
2020,2,1,조성훈,거시경제학,None,0.982,0.972,1.0,1,1.0,1.0
2020,2,0,김선빈,거시경제학,None,0.75,0.923,0.667,11,2.0,11.0
2021,1,0,조성훈,거시경제학,None,0.891,0.944,0.821,7,6.0,7.0
2022,1,1,문두철,회계원리(2),None,1.0,1.0,1.0,1,1.0,1.0
2021,2,0,윤대희,회계원리(2),None,0.829,0.829,,12,12.0,
2022,2,1,문두철,회계원리(2),None,0.912,0.927,0.5,12,12.0,5.0
2023,1,1,문두철,회계원리(2),2,0.469,0.765,0.133,12,12.0,12.0
2021,1,1,문두철,회계원리(2),None,1.0,1.0,,1,1.0,
2023,1,1,문두철,회계원리(2),None,0.859,0.859,,9,9.0,
2021,2,1,손성규,회계원리(2),None,1.0,1.0,1.0,1,1.0,1.0
2021,1,1,윤대희,회계원리(2),None,1.0,1.0,,1,1.0,
2021,2,1,문두철,회계원리(2),None,1.0,1.0,1.0,1,1.0,1.0
2022,1,0,윤대희,회계원리(2),None,0.877,0.877,,3,3.0,
2021,1,1,박주형,회계원리(2),None,0.624,0.804,0.069,12,12.0,12.0
2022,2,1,문두철,회계원리(2),2,0.754,0.841,0.6,12,8.0,12.0
2022,1,1,김종환,회계원리(2),None,1.0,1.0,1.0,1,1.0,1.0
2020,2,1,손성규,회계원리(2),None,0.615,0.667,0.5,12,12.0,12.0
2022,2,1,김종환,회계원리(2),None,1.0,1.0,1.0,1,1.0,1.0
2023,1,1,김종환,회계원리(2),None,1.0,1.0,,1,1.0,
2020,2,0,윤대희,회계원리(2),None,0.6,0.6,,12,12.0,
2022,2,1,이정경,회계원리(2),None,0.72,0.72,,12,12.0,
2022,2,2,이한솔,회계원리(2),None,0.427,0.573,0.025,12,12.0,12.0
2021,1,0,최동준,회계원리(2),None,0.912,0.955,0.833,12,12.0,12.0
2023,1,1,윤인경,회계원리(2),None,0.372,0.461,0.259,12,12.0,12.0
2023,1,1,김종환,회계원리(2),2,0.87,0.917,0.853,10,10.0,10.0
2021,2,0,윤대희,회계원리(2),2,1.0,1.0,,1,1.0,
2022,1,1,최동준,회계원리(2),None,0.364,0.446,0.029,12,12.0,12.0
2020,2,1,문두철,회계원리(2),None,0.753,0.768,0.72,12,12.0,12.0
2021,2,1,김종환,회계원리(2),None,0.983,1.0,0.933,5,1.0,5.0
2021,1,0,박영자,미분적분학,2,0.489,1.0,0.408,12,1.0,12.0
2021,2,0,박영자,미분적분학,2,0.857,1.0,0.844,1,1.0,1.0
2021,2,0,박영자,미분적분학,1,0.789,1.0,0.783,6,1.0,6.0
2020,2,2,박영자,미분적분학,2,0.784,1.0,0.761,3,1.0,3.0
2022,1,0,박영자,미분적분학,1,0.689,1.0,0.655,12,1.0,12.0
2021,1,0,박영자,미분적분학,1,0.388,1.0,0.341,12,1.0,12.0
2020,2,2,박영자,미분적분학,1,0.581,1.0,0.574,12,1.0,12.0
2022,1,0,박영자,미분적분학,2,0.678,1.0,0.655,12,1.0,12.0
2022,2,2,강성봉,미분적분학,None,0.433,1.0,0.382,12,1.0,12.0
2022,2,2,김숙경,미분적분학,None,0.172,1.0,0.059,12,1.0,12.0
2023,1,2,박영자,미분적분학,1,0.808,1.0,0.667,7,1.0,7.0
2023,1,2,박영자,미분적분학,2,0.86,1.0,0.741,12,1.0,12.0
2022,2,2,박영자,선형대수,1,0.75,1.0,0.683,7,1.0,7.0
2022,1,0,김숙경,선형대수,None,0.667,1.0,0.484,12,1.0,12.0
2021,1,0,김숙경,선형대수,None,0.716,1.0,0.653,12,1.0,12.0
2020,2,2,김숙경,선형대수,None,0.461,1.0,0.379,12,1.0,12.0
2022,2,2,박영자,선형대수,2,0.865,1.0,0.8,12,1.0,12.0
2022,1,0,강성봉,선형대수,None,0.734,1.0,0.691,12,1.0,12.0
2021,2,0,김숙경,선형대수,None,0.59,1.0,0.393,12,1.0,12.0
2020,2,2,강성봉,선형대수,None,0.38,1.0,0.338,12,1.0,12.0
2021,2,0,강성봉,선형대수,None,0.824,1.0,0.797,4,1.0,4.0
2021,1,0,강성봉,선형대수,None,0.51,1.0,0.25,12,1.0,12.0
2023,1,2,김숙경,선형대수,None,0.822,1.0,0.745,12,1.0,12.0
2023,1,2,강성봉,선형대수,None,0.63,1.0,0.431,12,1.0,12.0
2021,2,0,한솔지,알파프,1,0.266,1.0,0.161,12,1.0,12.0
2022,2,2,한솔지,알파프,1,0.709,1.0,0.448,12,1.0,12.0
2021,2,0,한솔지,알파프,2,0.513,0.842,0.184,12,12.0,12.0
2021,1,0,정종희,알파프,None,0.427,0.649,0.031,12,12.0,12.0
2021,1,0,박혜준,알파프,None,0.7,,0.7,1,,1.0
2020,2,0,박혜준,알파프,1,0.475,1.0,0.354,12,1.0,12.0
2022,1,0,한솔지,알파프,2,0.693,0.947,0.432,12,9.0,12.0
2022,2,2,정종희,알파프,None,0.473,1.0,0.31,12,1.0,12.0
2022,1,0,정종희,알파프,None,0.561,1.0,0.444,12,1.0,12.0
2021,1,0,한솔지,알파프,None,0.521,1.0,0.079,12,1.0,12.0
2022,2,2,한솔지,알파프,2,0.434,1.0,0.302,12,1.0,12.0
2022,1,0,한솔지,알파프,1,0.65,1.0,0.488,12,1.0,12.0
2020,2,0,박혜준,알파프,2,0.614,0.909,0.318,12,10.0,12.0
